top - 11:09:44 up  1:14,  1 user,  load average: 0.85, 0.47, 0.25
Tasks: 209 total,   1 running, 173 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.7 us,  3.6 sy,  0.1 ni, 84.6 id,  1.9 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :  7255932 total,  4513732 free,  1713772 used,  1028428 buff/cache
  673 root      20   0  503024  11048   9008 S   0.0  0.2   0:00.11 udisksd
  674 root      20   0  353520   9120   7772 S   0.0  0.1   0:00.08 ModemManag+
  675 root      20   0  558480  16596  13772 S   0.0  0.2   0:00.29 NetworkMan+
  707 avahi     20   0   47076    344      0 S   0.0  0.0   0:00.00 avahi-daem+
  709 root      20   0  296524   9680   6524 S   0.0  0.1   0:00.57 polkitd
  753 root      20   0  248536   1916   1484 S   0.0  0.0   0:00.82 VBoxService
  774 root      20   0  301068   7920   6752 S   0.0  0.1   0:00.06 gdm3
  785 root      20   0   25656   6140   4928 S   0.0  0.1   0:00.00 dhclient
  856 whoopsie  20   0  388596  12544  10924 S   0.0  0.2   0:00.05 whoopsie
  862 kernoops  20   0   56932    424      0 S   0.0  0.0   0:00.03 kerneloops
  864 kernoops  20   0   56932    420      0 S   0.0  0.0   0:00.03 kerneloops
 1001 root      20   0  315172   8448   7416 S   0.0  0.1   0:00.05 upowerd
 1048 root      20   0  250300   8432   7172 S   0.0  0.1   0:00.01 gdm-sessio+
 1054 gdm       20   0   76876   7896   6608 S   0.0  0.1   0:00.03 systemd
 1055 gdm       20   0  112004   2648      4 S   0.0  0.0   0:00.00 (sd-pam)
 1066 gdm       20   0  205016   5856   5240 S   0.0  0.1   0:00.00 gdm-x-sess+
 1068 gdm       20   0  461956  40484  29868 S   0.0  0.6   0:27.98 Xorg
 1080 gdm       20   0   50224   4616   3844 S   0.0  0.1   0:00.12 dbus-daemon
 1083 gdm       20   0  552088  13772  11420 S   0.0  0.2   0:00.10 gnome-sess+
 1087 gdm       20   0  349428   6376   5780 S   0.0  0.1   0:00.01 at-spi-bus+
 1092 gdm       20   0   49924   4112   3648 S   0.0  0.1   0:00.01 dbus-daemon
 1095 gdm       20   0  220776   6856   6156 S   0.0  0.1   0:00.02 at-spi2-re+
 1110 gdm       20   0 3227360 116256  58400 S   0.0  1.6   0:38.19 gnome-shell
 1120 gdm       20   0 1146372  11460   8372 S   0.0  0.2   0:00.33 pulseaudio
 1121 rtkit     21   1  183504   2968   2700 S   0.0  0.0   0:00.04 rtkit-daem+
 1133 gdm       20   0  354252   7556   6188 S   0.0  0.1   0:00.06 ibus-daemon
 1136 gdm       20   0  273632   5832   5396 S   0.0  0.1   0:00.00 ibus-dconf
 1139 gdm       20   0  336944  20816  16144 S   0.0  0.3   0:00.08 ibus-x11
 1144 gdm       20   0  271444   6012   5572 S   0.0  0.1   0:00.00 ibus-portal
 1153 root      20   0  289672   7196   6428 S   0.0  0.1   0:00.03 boltd
 1155 gdm       20   0  487736  22248  17016 S   0.0  0.3   0:00.10 gsd-xsetti+
 1167 root      20   0  515284  55220  12928 S   0.0  0.8   0:09.41 packagekitd
 1168 gdm       20   0  271180   5868   5316 S   0.0  0.1   0:00.01 gsd-a11y-s+
 1171 gdm       20   0  336556  20096  15432 S   0.0  0.3   0:00.08 gsd-clipbo+
 1176 gdm       20   0  661224  22852  17780 S   0.0  0.3   0:00.52 gsd-color
 1177 gdm       20   0  386616  13644  11780 S   0.0  0.2   0:00.08 gsd-dateti+
 1180 gdm       20   0  276628   5200   4784 S   0.0  0.1   0:00.03 gsd-housek+
 1182 gdm       20   0  491108  20808  16028 S   0.0  0.3   0:00.10 gsd-keyboa+
 1185 gdm       20   0 1007268  23336  17992 S   0.0  0.3   0:00.12 gsd-media-+
 1186 gdm       20   0  194884   4560   4176 S   0.0  0.1   0:00.00 gsd-mouse
 1187 gdm       20   0  510372  22744  17508 S   0.0  0.3   0:00.12 gsd-power
 1198 gdm       20   0  259888   8672   7588 S   0.0  0.1   0:00.00 gsd-print-+
 1201 gdm       20   0  194904   4492   4108 S   0.0  0.1   0:00.01 gsd-rfkill
 1205 gdm       20   0  268620   4676   4288 S   0.0  0.1   0:00.00 gsd-screen+
 1209 gdm       20   0  298128   7976   7116 S   0.0  0.1   0:00.00 gsd-sharing
 1211 gdm       20   0  370956   7828   7028 S   0.0  0.1   0:00.01 gsd-smartc+
 1218 gdm       20   0  325884   7992   7016 S   0.0  0.1   0:00.02 gsd-sound
 1221 gdm       20   0  495164  21280  16300 S   0.0  0.3   0:00.10 gsd-wacom
 1244 colord    20   0  317692  13688   9048 S   0.0  0.2   0:00.17 colord
 1257 gdm       20   0  197776   6584   5936 S   0.0  0.1   0:00.01 ibus-engin+
 1266 root      20   0  404096   9308   7564 S   0.0  0.1   0:00.05 gdm-sessio+
 1270 akhil     20   0   76932   8300   6844 S   0.0  0.1   0:00.15 systemd
 1271 akhil     20   0  112004   2648      4 S   0.0  0.0   0:00.00 (sd-pam)
 1284 akhil     20   0  281252   7612   6640 S   0.0  0.1   0:00.08 gnome-keyr+
 1288 akhil     20   0  205016   5904   5232 S   0.0  0.1   0:00.01 gdm-x-sess+
 1290 akhil     20   0  668540 139324  82548 S   0.0  1.9   1:11.47 Xorg
 1301 akhil     20   0   52076   6396   3740 S   0.0  0.1   0:00.57 dbus-daemon
 1304 akhil     20   0  699852  14472  11708 S   0.0  0.2   0:00.32 gnome-sess+
 1360 akhil     20   0   52276    396      0 S   0.0  0.0   0:00.00 VBoxClient
 1361 akhil     20   0  120540   4500   3872 S   0.0  0.1   0:00.01 VBoxClient
 1370 akhil     20   0   52276    396      0 S   0.0  0.0   0:00.00 VBoxClient
 1371 akhil     20   0   52276   3472   3004 S   0.0  0.0   0:00.00 VBoxClient
 1375 akhil     20   0   52276    392      0 S   0.0  0.0   0:00.00 VBoxClient
 1376 akhil     20   0  118328   2136   1684 S   0.0  0.0   0:00.00 VBoxClient
 1380 akhil     20   0   52276    396      0 S   0.0  0.0   0:00.00 VBoxClient
 1470 akhil     20   0   11304    316      0 S   0.0  0.0   0:00.01 ssh-agent
 1474 akhil     20   0  349448   6360   5768 S   0.0  0.1   0:00.00 at-spi-bus+
 1479 akhil     20   0   50060   4188   3692 S   0.0  0.1   0:00.07 dbus-daemon
 1481 akhil     20   0  220776   6892   6188 S   0.0  0.1   0:00.39 at-spi2-re+
 1496 akhil     20   0  284852   7084   6176 S   0.0  0.1   0:00.04 gvfsd
 1501 akhil     20   0  416108   5308   4772 S   0.0  0.1   0:00.00 gvfsd-fuse
 1611 akhil      9 -11 1689436  12200   9004 S   0.0  0.2   0:00.26 pulseaudio
 1622 akhil     20   0  354632   7984   6284 S   0.0  0.1   0:03.62 ibus-daemon
 1626 akhil     20   0  273644   6560   5908 S   0.0  0.1   0:00.00 ibus-dconf
 1628 akhil     20   0  336860  20516  15900 S   0.0  0.3   0:00.12 ibus-x11
 1632 akhil     20   0  271576   5928   5492 S   0.0  0.1   0:00.03 ibus-portal
 1641 akhil     20   0  689784  20356  17388 S   0.0  0.3   0:00.07 gnome-shel+
 1651 akhil     20   0  373056   8456   7020 S   0.0  0.1   0:00.05 gvfs-udisk+
 1652 akhil     20   0 1365196  25752  21536 S   0.0  0.4   0:00.14 evolution-+
 1656 akhil     20   0  281544   5556   4964 S   0.0  0.1   0:00.01 gvfs-gphot+
 1663 akhil     20   0  371700   7672   6792 S   0.0  0.1   0:00.00 gvfs-afc-v+
 1666 akhil     20   0  0.110t  31216  25736 S   0.0  0.4   0:00.13 goa-daemon
 1671 akhil     20   0  268756   4820   4356 S   0.0  0.1   0:00.01 gvfs-mtp-v+
 1677 akhil     20   0  266932   5944   5380 S   0.0  0.1   0:00.01 gvfs-goa-v+
 1687 akhil     20   0  296372   7568   6656 S   0.0  0.1   0:00.03 goa-identi+
 1696 akhil     20   0  510212  22132  17024 S   0.0  0.3   0:00.18 gsd-power
 1698 akhil     20   0  342204  10248   8908 S   0.0  0.1   0:00.01 gsd-print-+
 1699 akhil     20   0  416232   5688   5032 S   0.0  0.1   0:00.01 gsd-rfkill
 1702 akhil     20   0  268620   4736   4352 S   0.0  0.1   0:00.00 gsd-screen+
 1705 akhil     20   0  445868   9048   7772 S   0.0  0.1   0:00.01 gsd-sharing
 1706 akhil     20   0  444704   8060   7256 S   0.0  0.1   0:00.01 gsd-smartc+
 1707 akhil     20   0  325896   8068   7088 S   0.0  0.1   0:00.01 gsd-sound
 1712 akhil     20   0  487660  21988  16788 S   0.0  0.3   0:00.19 gsd-xsetti+
 1715 akhil     20   0  421316  21192  16300 S   0.0  0.3   0:00.16 gsd-wacom
 1725 akhil     20   0  336460  20180  15564 S   0.0  0.3   0:00.13 gsd-clipbo+
 1731 akhil     20   0  271192   5896   5332 S   0.0  0.1   0:00.01 gsd-a11y-s+
 1732 akhil     20   0  462792  13828  11956 S   0.0  0.2   0:00.01 gsd-dateti+
 1735 akhil     20   0  661140  22708  17436 S   0.0  0.3   0:00.45 gsd-color
 1737 akhil     20   0  491008  20908  16176 S   0.0  0.3   0:00.13 gsd-keyboa+
 1738 akhil     20   0  357484   7100   6348 S   0.0  0.1   0:00.12 gsd-housek+
